类型,key,English,English,English,简体中文,例子,简体中文,例子,简体中文,例子,来源,备注,释义
物品,,Cooked Chicken,,,熟鸡肉,,,,,,标准译名列表,,
物品,,Cooked Cod,,,熟鳕鱼,,,,,,标准译名列表,,
物品,,Cooked Fish,,,熟鱼,,,,,,标准译名列表,,
物品,,Cooked Mutton,,,熟羊肉,,,,,,标准译名列表,,
物品,,Cooked Porkchop,,,熟猪排,,,,,,标准译名列表,,
物品,,Cooked Rabbit,,,熟兔肉,,,,,,标准译名列表,,
物品,,Cooked Salmon,,,熟鲑鱼,,,,,,标准译名列表,,
物品,,Cookie,,,曲奇,,,,,,标准译名列表,,
物品,,Copper Ingot,,,铜锭,,,,,,标准译名列表,,
物品,,Crossbow,,,弩,,,,,,标准译名列表,,
物品,,Crystallized Honey,,,结晶蜜,,,,,,标准译名列表,,
物品,,Cyan Dye,,,青色染料,,,,,,标准译名列表,,
物品,,Dandelion Yellow,,,蒲公英黄,,,,,,标准译名列表,,
物品,,Dark Oak Boat,,,深色橡木船,,,,,,标准译名列表,,
物品,,Debug Stick,,,调试棒,,,,,,标准译名列表,,
物品,,Diamond,,,钻石,,,,,,标准译名列表,,
物品,,Diamond Axe,,,钻石斧,,,,,,标准译名列表,,
物品,,Diamond Boots,,,钻石靴子,,,,,,标准译名列表,,
物品,,Diamond Chestplate,,,钻石胸甲,,,,,,标准译名列表,,
物品,,Diamond Helmet,,,钻石头盔,,,,,,标准译名列表,,
物品,,Diamond Hoe,,,钻石锄,,,,,,标准译名列表,,
物品,,Diamond Horse Armor,,,钻石马铠,,,,,,标准译名列表,,
物品,,Diamond Leggings,,,钻石护腿,,,,,,标准译名列表,,
物品,,Diamond Pickaxe,,,钻石镐,,,,,,标准译名列表,,
物品,,Diamond Shovel,,,钻石锹,,,,,,标准译名列表,,
物品,,Diamond Sword,,,钻石剑,,,,,,标准译名列表,,
物品,,Dragon's Breath,,,龙息,,,,,,标准译名列表,,
物品,,Dried Kelp,,,干海带,,,,,,标准译名列表,,
物品,,Egg,,,鸡蛋,,,,,,标准译名列表,,
物品,,Elytra,,,鞘翅,,,,,,标准译名列表,,
物品,,Emerald,,,绿宝石,,,,,,标准译名列表,,
物品,,Empty Locator Map,,,空定位器地图,,,,,,标准译名列表,,
物品,,Empty Map,,,空地图,,,,,,标准译名列表,,
物品,,Enchanted Book,,,附魔书,,,,,,标准译名列表,,
物品,,Enchanted Golden Apple,,,附魔金苹果,,,,,,标准译名列表,,
物品,,End Crystal,,,末影水晶,,,,,,标准译名列表,,
物品,,Ender Pearl,,,末影珍珠,,,,,,标准译名列表,,
物品,,Explorer Map,,,探险家地图,,,,,,标准译名列表,,
物品,,Eye of Ender,,,末影之眼,,,,,,标准译名列表,,
物品,,Feather,,,羽毛,,,,,,标准译名列表,,
物品,,Fermented Spider Eye,,,发酵蛛眼,,,,,,标准译名列表,,
物品,,Filled Bundle,,,收纳袋,,,,,,标准译名列表,,
物品,,Filled Map,,,地图,,,,,,标准译名列表,,
物品,,Fire Charge,,,火焰弹,,,,,,标准译名列表,,
物品,,Firework Loaded Crossbow,,,装填烟花的弩,,,,,,标准译名列表,,
物品,,Firework Rocket,,,烟花火箭,,,,,,标准译名列表,,
物品,,Firework Star,,,烟火之星,,,,,,标准译名列表,,
物品,,Fish,,,鱼,,,,,,标准译名列表,,
物品,,Fishing Rod,,,钓鱼竿,,,,,,标准译名列表,,
物品,,Flint,,,燧石,,,,,,标准译名列表,,
物品,,Flint And Steel,,,打火石,,,,,,标准译名列表,,
物品,,Fuel,,,燃料,,,,,,标准译名列表,,
物品,,Ghast Tear,,,恶魂之泪,,,,,,标准译名列表,,
物品,,Glass Bottle,,,玻璃瓶,,,,,,标准译名列表,,
物品,,Glistering Melon,Glistering Melon Slice,,闪烁的西瓜片,,,,,,标准译名列表,,
物品,,Glow Berries,,,发光浆果,,,,,,标准译名列表,,
物品,,Glow Ink Sac,,,荧光墨囊,,,,,,标准译名列表,,
物品,,Glow Item Frame,,,荧光物品展示框,,,,,,标准译名列表,,
物品,,Glowstone Dust,,,荧石粉,,,,,,标准译名列表,,
物品,,Goat Horn,,,山羊角,,,,,,标准译名列表,,
物品,,Gold Ingot,,,金锭,,,,,,标准译名列表,,
物品,,Gold Nugget,,,金粒,,,,,,标准译名列表,,
物品,,Golden Apple,,,金苹果,,,,,,标准译名列表,,
物品,,Golden Armor,,,金质盔甲,,,,,,标准译名列表,,
物品,,Golden Axe,,,金斧,,,,,,标准译名列表,,
物品,,Golden Boots,,,金靴子,,,,,,标准译名列表,,
物品,,Golden Carrot,,,金胡萝卜,,,,,,标准译名列表,,
物品,,Golden Chestplate,,,金胸甲,,,,,,标准译名列表,,
物品,,Golden Helmet,,,金头盔,,,,,,标准译名列表,,
物品,,Golden Hoe,,,金锄,,,,,,标准译名列表,,
物品,,Golden Horse Armor,,,金马铠,,,,,,标准译名列表,,
物品,,Golden Leggings,,,金护腿,,,,,,标准译名列表,,
物品,,Golden Pickaxe,,,金镐,,,,,,标准译名列表,,
物品,,Golden Shovel,,,金锹,,,,,,标准译名列表,,
物品,,Golden Sword,,,金剑,,,,,,标准译名列表,,
物品,,Golden Tools,,,金质工具,,,,,,标准译名列表,,
物品,,Gray Dye,,,灰色染料,,,,,,标准译名列表,,
物品,,Green Dye,,,绿色染料,,,,,,标准译名列表,,
物品,,Gunpowder,,,火药,,,,,,标准译名列表,,
物品,,Half Filled Bundle,,,收纳袋,,,,,,标准译名列表,,
物品,,Heart of The Sea,,,海洋之心,,,,,,标准译名列表,,
物品,,Helmet,,,头盔,,,,,,标准译名列表,,
物品,,Hoe,,,锄,,,,,,标准译名列表,,
物品,,Honey Bottle,,,蜂蜜瓶,,,,,,标准译名列表,,
物品,,Honeycomb,,,蜜脾,,,,,,标准译名列表,,
物品,,Horse Armor,,,马铠,,,,,,标准译名列表,,
物品,,Ink Sac,,,墨囊,,,,,,标准译名列表,,
物品,,Iron Armor,,,铁质盔甲,,,,,,标准译名列表,,
物品,,Iron Axe,,,铁斧,,,,,,标准译名列表,,
物品,,Iron Boots,,,铁靴子,,,,,,标准译名列表,,
物品,,Iron Chestplate,,,铁胸甲,,,,,,标准译名列表,,
物品,,Iron Helmet,,,铁头盔,,,,,,标准译名列表,,
物品,,Iron Hoe,,,铁锄,,,,,,标准译名列表,,
物品,,Iron Horse Armor,,,铁马铠,,,,,,标准译名列表,,
物品,,Iron Ingot,,,铁锭,,,,,,标准译名列表,,
物品,,Iron Leggings,,,铁护腿,,,,,,标准译名列表,,
物品,,Iron Nugget,,,铁粒,,,,,,标准译名列表,,
物品,,Iron Pickaxe,,,铁镐,,,,,,标准译名列表,,
物品,,Iron Shovel,,,铁锹,,,,,,标准译名列表,,
物品,,Iron Sword,,,铁剑,,,,,,标准译名列表,,
物品,,Iron Tools,,,铁质工具,,,,,,标准译名列表,,
物品,,Item Frame,,,物品展示框,,,,,,标准译名列表,,
物品,,Jungle Boat,,,丛林木船,,,,,,标准译名列表,,
物品,,Kelp,,,海带,,,,,,标准译名列表,,
物品,,Knowledge Book,,,知识之书,,,,,,标准译名列表,,
物品,,Lapis Lazuli,,,青金石,,,,,,标准译名列表,,
物品,,Lava Bucket,,,熔岩桶,,,,,,标准译名列表,,
物品,,Lead,,,拴绳,,,,,,标准译名列表,,
物品,,Leather,,,皮革,,,,,,标准译名列表,,
物品,,Leather Armor,,,皮革盔甲,,,,,,标准译名列表,,
物品,,Leather Boots,,,皮革靴子,,,,,,标准译名列表,,
物品,,Leather Cap,,,皮革帽子,,,,,,标准译名列表,,
物品,,Leather Horse Armor,,,皮革马铠,,,,,,标准译名列表,,
物品,,Leather Pants,,,皮革裤子,,,,,,标准译名列表,,
物品,,Leather Tunic,,,皮革外套,,,,,,标准译名列表,,
物品,,Leggings,,,护腿,,,,,,标准译名列表,,
物品,,Light Blue Dye,,,淡蓝色染料,,,,,,标准译名列表,,
物品,,Light Gray Dye,,,淡灰色染料,,,,,,标准译名列表,,
物品,,Lime Dye,,,黄绿色染料,,,,,,标准译名列表,,
物品,,Lingering Potion,,,滞留药水,,,,,,标准译名列表,,
物品,,Lingering Potion of Decay,,,滞留型衰变药水,,,,,,标准译名列表,,
物品,,Lingering Potion of Fire Resistance,,,滞留型抗火药水,,,,,,标准译名列表,,
物品,,Lingering Potion of Harming,,,滞留型伤害药水,,,,,,标准译名列表,,
物品,,Lingering Potion of Healing,,,滞留型治疗药水,,,,,,标准译名列表,,
物品,,Lingering Potion of Invisibility,,,滞留型隐身药水,,,,,,标准译名列表,,
物品,,Lingering Potion of Leaping,,,滞留型跳跃药水,,,,,,标准译名列表,,
物品,,Lingering Potion of Luck,,,滞留型幸运药水,,,,,,标准译名列表,,
物品,,Lingering Potion of Night Vision,,,滞留型夜视药水,,,,,,标准译名列表,,
物品,,Lingering Potion of Poison,,,滞留型剧毒药水,,,,,,标准译名列表,,
物品,,Lingering Potion of Regeneration,,,滞留型再生药水,,,,,,标准译名列表,,
物品,,Lingering Potion of Slow Falling,,,滞留型缓降药水,,,,,,标准译名列表,,
物品,,Lingering Potion of Slowness,,,滞留型迟缓药水,,,,,,标准译名列表,,
物品,,Lingering Potion of Strength,,,滞留型力量药水,,,,,,标准译名列表,,
物品,,Lingering Potion of Swiftness,,,滞留型迅捷药水,,,,,,标准译名列表,,
物品,,Lingering Potion of The Turtle Master,,,滞留型神龟药水,,,,,,标准译名列表,,
物品,,Lingering Potion of Water Breathing,,,滞留型水肺药水,,,,,,标准译名列表,,
物品,,Lingering Potion of Weakness,,,滞留型虚弱药水,,,,,,标准译名列表,,
物品,,Lingering Water Bottle,,,滞留型水瓶,,,,,,标准译名列表,,
物品,,Locked Map,,,已锁定的地图,,,,,,标准译名列表,,
物品,,Lodestone Compass,,,磁石指针,,,,,,标准译名列表,,
物品,,Magenta Dye,,,品红色染料,,,,,,标准译名列表,,
物品,,Magma Cream,,,岩浆膏,,,,,,标准译名列表,,
物品,,Map,,,地图,,,,,,标准译名列表,,
物品,,Melon Seeds,,,西瓜种子,,,,,,标准译名列表,,
物品,,Melon Slice,,,西瓜片,,,,,,标准译名列表,,
物品,,Milk Bucket,,,奶桶,,,,,,标准译名列表,,
物品,,Minecart,,,矿车,,,,,,标准译名列表,,
物品,,Minecart With Chest,,,运输矿车,,,,,,标准译名列表,,
物品,,Minecart With Command Block,,,命令方块矿车,,,,,,标准译名列表,,
物品,,Minecart With Dispenser,,,发射器矿车,,,,,,标准译名列表,,
物品,,Minecart With Furnace,,,动力矿车,,,,,,标准译名列表,,
物品,,Minecart With Hopper,,,漏斗矿车,,,,,,标准译名列表,,
物品,,Minecart With Repeating Command Block,,,循环型命令方块矿车,,,,,,标准译名列表,,
物品,,Minecart With Spawner,,,刷怪笼矿车,,,,,,标准译名列表,,
物品,,Minecart With Tnt,,,TNT矿车,,,,,,标准译名列表,,
物品,,Mundane Lingering Potion,,,滞留型平凡的药水,,,,,,标准译名列表,,
物品,,Mundane Potion,,,平凡的药水,,,,,,标准译名列表,,
物品,,Mushroom Stew,,,蘑菇煲,,,,,,标准译名列表,,
物品,,Music Disc,,,音乐唱片,,,,,,标准译名列表,,
物品,,Music Disc 11,,,音乐唱片,,,,,,标准译名列表,,
物品,,Music Disc 13,,,音乐唱片,,,,,,标准译名列表,,
物品,,Music Disc Blocks,,,音乐唱片,,,,,,标准译名列表,,
物品,,Music Disc Cat,,,音乐唱片,,,,,,标准译名列表,,
物品,,Music Disc Chirp,,,音乐唱片,,,,,,标准译名列表,,
物品,,Music Disc Far,,,音乐唱片,,,,,,标准译名列表,,
物品,,Music Disc Mall,,,音乐唱片,,,,,,标准译名列表,,
物品,,Music Disc Mellohi,,,音乐唱片,,,,,,标准译名列表,,
物品,,Music Disc Otherside,,,音乐唱片,,,,,,标准译名列表,,
物品,,Music Disc Pigstep,,,音乐唱片,,,,,,标准译名列表,,
物品,,Music Disc Stal,,,音乐唱片,,,,,,标准译名列表,,
物品,,Music Disc Strad,,,音乐唱片,,,,,,标准译名列表,,
物品,,Music Disc Wait,,,音乐唱片,,,,,,标准译名列表,,
物品,,Music Disc Ward,,,音乐唱片,,,,,,标准译名列表,,
物品,,Name Tag,,,命名牌,,,,,,标准译名列表,,
物品,,Nautilus Shell,,,鹦鹉螺壳,,,,,,标准译名列表,,
物品,,Nether Brick,,,下界砖,,,,,,标准译名列表,,
物品,,Nether Quartz,,,下界石英,,,,,,标准译名列表,,
物品,,Nether Star,,,下界之星,,,,,,标准译名列表,,
物品,,Netherite Axe,,,下界合金斧,,,,,,标准译名列表,,
物品,,Netherite Boots,,,下界合金靴子,,,,,,标准译名列表,,
物品,,Netherite Chestplate,,,下界合金胸甲,,,,,,标准译名列表,,
物品,,Netherite Helmet,,,下界合金头盔,,,,,,标准译名列表,,
物品,,Netherite Hoe,,,下界合金锄,,,,,,标准译名列表,,
物品,,Netherite Ingot,,,下界合金锭,,,,,,标准译名列表,,
物品,,Netherite Leggings,,,下界合金护腿,,,,,,标准译名列表,,
物品,,Netherite Pickaxe,,,下界合金镐,,,,,,标准译名列表,,
物品,,Netherite Scrap,,,下界合金碎片,,,,,,标准译名列表,,
物品,,Netherite Shovel,,,下界合金锹,,,,,,标准译名列表,,
物品,,Netherite Sword,,,下界合金剑,,,,,,标准译名列表,,
物品,,Oak Boat,,,橡木船,,,,,,标准译名列表,,
物品,,Ocean Explorer Map,,,海洋探险家地图,,,,,,标准译名列表,,
物品,,Orange Dye,,,橙色染料,,,,,,标准译名列表,,
物品,,Painting,,,画,,,,,,标准译名列表,,
物品,,Paper,,,纸,,,,,,标准译名列表,,
物品,,Phantom Membrane,,,幻翼膜,,,,,,标准译名列表,,
物品,,Pickaxe,,,镐,,,,,,标准译名列表,,
物品,,Pink Dye,,,粉红色染料,,,,,,标准译名列表,,
物品,,Poisonous Potato,,,毒马铃薯,,,,,,标准译名列表,,
物品,,Popped Chorus Fruit,,,爆裂紫颂果,,,,,,标准译名列表,,
物品,,Portfolio,,,公文包,,,,,,标准译名列表,,
物品,,Potato,,,马铃薯,,,,,,标准译名列表,,
物品,,Potion,,,药水,,,,,,标准译名列表,,
物品,,Potion of Decay,,,衰变药水,,,,,,标准译名列表,,
物品,,Potion of Fire Resistance,,,抗火药水,,,,,,标准译名列表,,
物品,,Potion of Harming,,,伤害药水,,,,,,标准译名列表,,
物品,,Potion of Healing,,,治疗药水,,,,,,标准译名列表,,
物品,,Potion of Invisibility,,,隐身药水,,,,,,标准译名列表,,
物品,,Potion of Leaping,,,跳跃药水,,,,,,标准译名列表,,
物品,,Potion of Luck,,,幸运药水,,,,,,标准译名列表,,
物品,,Potion of Night Vision,,,夜视药水,,,,,,标准译名列表,,
物品,,Potion of Poison,,,剧毒药水,,,,,,标准译名列表,,
物品,,Potion of Regeneration,,,再生药水,,,,,,标准译名列表,,
物品,,Potion of Slow Falling,,,缓降药水,,,,,,标准译名列表,,
物品,,Potion of Slowness,,,迟缓药水,,,,,,标准译名列表,,
物品,,Potion of Strength,,,力量药水,,,,,,标准译名列表,,
物品,,Potion of Swiftness,,,迅捷药水,,,,,,标准译名列表,,
物品,,Potion of The Turtle Master,,,神龟药水,,,,,,标准译名列表,,
物品,,Potion of Water Breathing,,,水肺药水,,,,,,标准译名列表,,
物品,,Potion of Weakness,,,虚弱药水,,,,,,标准译名列表,,
物品,,Powder Snow Bucket,,,细雪桶,,,,,,标准译名列表,,
物品,,Prismarine Crystals,,,海晶砂粒,,,,,,标准译名列表,,
物品,,Prismarine Shard,,,海晶碎片,,,,,,标准译名列表,,
物品,,Pufferfish,,,河豚,,,,,,标准译名列表,,
物品,,Pumpkin Pie,,,南瓜派,,,,,,标准译名列表,,
物品,,Pumpkin Seeds,,,南瓜种子,,,,,,标准译名列表,,
物品,,Purple Dye,,,紫色染料,,,,,,标准译名列表,,
物品,,Rabbit Hide,,,兔子皮,,,,,,标准译名列表,,
物品,,Rabbit Stew,,,兔肉煲,,,,,,标准译名列表,,
物品,,Rabbit's Foot,,,兔子脚,,,,,,标准译名列表,,
物品,,Raw Beef,,,生牛肉,,,,,,标准译名列表,,
物品,,Raw Chicken,,,生鸡肉,,,,,,标准译名列表,,
物品,,Raw Cod,,,生鳕鱼,,,,,,标准译名列表,,
物品,,Raw Copper,,,粗铜,,,,,,标准译名列表,,
物品,,Raw Fish,,,生鱼,,,,,,标准译名列表,,
物品,,Raw Gold,,,粗金,,,,,,标准译名列表,,
物品,,Raw Iron,,,粗铁,,,,,,标准译名列表,,
物品,,Raw Mutton,,,生羊肉,,,,,,标准译名列表,,
物品,,Raw Porkchop,,,生猪排,,,,,,标准译名列表,,
物品,,Raw Rabbit,,,生兔肉,,,,,,标准译名列表,,
物品,,Raw Salmon,,,生鲑鱼,,,,,,标准译名列表,,
物品,,Red Dye,,,红色染料,,,,,,标准译名列表,,
物品,,Redstone Dust,Redstone,,红石粉,,,,,,标准译名列表,,
物品,,Rose Red,,,玫瑰红,,,,,,标准译名列表,,
物品,,Rotten Flesh,,,腐肉,,,,,,标准译名列表,,
物品,,Saddle,,,鞍,,,,,,标准译名列表,,
物品,,Scute,,,鳞甲,,,,,,标准译名列表,,
物品,,Seeds,,,种子,,,,,,标准译名列表,,
物品,,Shears,,,剪刀,,,,,,标准译名列表,,
物品,,Shield,,,盾牌,,,,,,标准译名列表,,
物品,,Shovel,,,锹,,,,,,标准译名列表,,
物品,,Shulker Shell,,,潜影壳,,,,,,标准译名列表,,
物品,,Slimeball,,,黏液球,,,,,,标准译名列表,,
物品,,Snowball,,,雪球,,,,,,标准译名列表,,
物品,,Spawn Egg,,,刷怪蛋,,,,,,标准译名列表,,
物品,,Spectral Arrow,,,光灵箭,,,,,,标准译名列表,,
物品,,Spider Eye,,,蜘蛛眼,,,,,,标准译名列表,,
物品,,Splash Awkward Potion,,,喷溅型粗制的药水,,,,,,标准译名列表,,
物品,,Splash Mundane Potion,Mundane Splash Potion,,喷溅型平凡的药水,,,,,,标准译名列表,,
物品,,Splash Potion,,,喷溅药水,,,,,,标准译名列表,,
物品,,Splash Potion of Decay,,,喷溅型衰变药水,,,,,,标准译名列表,,
物品,,Splash Potion of Fire Resistance,,,喷溅型抗火药水,,,,,,标准译名列表,,
物品,,Splash Potion of Harming,,,喷溅型伤害药水,,,,,,标准译名列表,,
物品,,Splash Potion of Healing,,,喷溅型治疗药水,,,,,,标准译名列表,,
物品,,Splash Potion of Invisibility,,,喷溅型隐身药水,,,,,,标准译名列表,,
物品,,Splash Potion of Leaping,,,喷溅型跳跃药水,,,,,,标准译名列表,,
物品,,Splash Potion of Luck,,,喷溅型幸运药水,,,,,,标准译名列表,,
物品,,Splash Potion of Night Vision,,,喷溅型夜视药水,,,,,,标准译名列表,,
物品,,Splash Potion of Poison,,,喷溅型剧毒药水,,,,,,标准译名列表,,
物品,,Splash Potion of Regeneration,,,喷溅型再生药水,,,,,,标准译名列表,,
物品,,Splash Potion of Slow Falling,,,喷溅型缓降药水,,,,,,标准译名列表,,
物品,,Splash Potion of Slowness,,,喷溅型迟缓药水,,,,,,标准译名列表,,
物品,,Splash Potion of Strength,,,喷溅型力量药水,,,,,,标准译名列表,,
物品,,Splash Potion of Swiftness,,,喷溅型迅捷药水,,,,,,标准译名列表,,
物品,,Splash Potion of The Turtle Master,,,喷溅型神龟药水,,,,,,标准译名列表,,
物品,,Splash Potion of Water Breathing,,,喷溅型水肺药水,,,,,,标准译名列表,,
物品,,Splash Potion of Weakness,,,喷溅型虚弱药水,,,,,,标准译名列表,,
物品,,Splash Water Bottle,,,喷溅型水瓶,,,,,,标准译名列表,,
物品,,Spruce Boat,,,云杉木船,,,,,,标准译名列表,,
物品,,Spyglass,,,望远镜,,,,,,标准译名列表,,
物品,,Stick,,,木棍,,,,,,标准译名列表,,
物品,,Stone Axe,,,石斧,,,,,,标准译名列表,,
物品,,Stone Hoe,,,石锄,,,,,,标准译名列表,,
物品,,Stone Pickaxe,,,石镐,,,,,,标准译名列表,,
物品,,Stone Shovel,,,石锹,,,,,,标准译名列表,,
物品,,Stone Sword,,,石剑,,,,,,标准译名列表,,
物品,,String,,,线,,,,,,标准译名列表,,
物品,,Sugar,,,糖,,,,,,标准译名列表,,
物品,,Suspicious Stew,,,迷之炖菜,,,,,,标准译名列表,,
物品,,Sweet Berries,,,甜浆果,,,,,,标准译名列表,,
物品,,Sword,,,剑,,,,,,标准译名列表,,
物品,,Thick Lingering Potion,,,滞留型浓稠的药水,,,,,,标准译名列表,,
物品,,Thick Potion,,,浓稠的药水,,,,,,标准译名列表,,
物品,,Thick Splash Potion,,,喷溅型浓稠的药水,,,,,,标准译名列表,,
物品,,Tipped Arrow,,,药箭,,,,,,标准译名列表,,
物品,,Totem of Undying,Undying Totem,,不死图腾,,,,,,标准译名列表,,
物品,,Trident,,,三叉戟,,,,,,标准译名列表,,
物品,,Tropical Fish,,,热带鱼,,,,,,标准译名列表,,
物品,,Turtle Shell,,,海龟壳,,,,,,标准译名列表,,
物品,,Uncraftable Lingering Potion,,,不可合成的滞留型药水,,,,,,标准译名列表,,
物品,,Uncraftable Potion,,,不可合成的药水,,,,,,标准译名列表,,
物品,,Uncraftable Splash Potion,,,不可合成的喷溅型药水,,,,,,标准译名列表,,
物品,,Uncraftable Tipped Arrow,,,不可合成的药箭,,,,,,标准译名列表,,
物品,,Warped Fungus On a Stick,,,诡异菌钓竿,,,,,,标准译名列表,,
物品,,Water Bottle,,,水瓶,,,,,,标准译名列表,,
物品,,Water Bucket,,,水桶,,,,,,标准译名列表,,
物品,,Wheat,,,小麦,,,,,,标准译名列表,,
物品,,Wheat Seeds,,,小麦种子,,,,,,标准译名列表,,
物品,,White Dye,,,白色染料,,,,,,标准译名列表,,
物品,,Wooden Axe,,,木斧,,,,,,标准译名列表,,
物品,,Wooden Hoe,,,木锄,,,,,,标准译名列表,,
物品,,Wooden Pickaxe,,,木镐,,,,,,标准译名列表,,
物品,,Wooden Shovel,,,木锹,,,,,,标准译名列表,,
物品,,Wooden Sword,,,木剑,,,,,,标准译名列表,,
物品,,Woodland Explorer Map,,,林地探险家地图,,,,,,标准译名列表,,
物品,,Written Book,,,成书,,,,,,标准译名列表,,
物品,,Yellow Dye,,,黄色染料,,,,,,标准译名列表,,
实体,,Agent,,,智能体,,,,,,标准译名列表,,
实体,,Area Effect Cloud,,,区域效果云,,,,,,标准译名列表,,
实体,,Armor Stand,,,盔甲架,,,,,,标准译名列表,,
实体,,Axolotl,,,美西螈,,,,,,标准译名列表,,
实体,,Bat,,,蝙蝠,,,,,,标准译名列表,,
实体,,Bee,,,蜜蜂,,,,,,标准译名列表,,
实体,,Black Cat,,,猫,,,,,,标准译名列表,,
实体,,Blaze,,,烈焰人,,,,,,标准译名列表,,
实体,,Brown Mooshroom,,,棕色哞菇,,,,,,标准译名列表,,
实体,,Cat,,,猫,,,,,,标准译名列表,,
实体,,Cave Spider,,,洞穴蜘蛛,,,,,,标准译名列表,,
实体,,Charged Creeper,,,闪电苦力怕,,,,,,标准译名列表,,
实体,,Chicken,,,鸡,,,,,,标准译名列表,,
实体,,Chicken Jockey,,,鸡骑士,,,,,,标准译名列表,,
实体,,Cod,,,鳕鱼,,,,,,标准译名列表,,
实体,,Cow,,,牛,,,,,,标准译名列表,,
实体,,Creeper,,,苦力怕,,,,,,标准译名列表,,
实体,,Dolphin,,,海豚,,,,,,标准译名列表,,
实体,,Donkey,,,驴,,,,,,标准译名列表,,
实体,,Dragon Fireball,,,末影龙火球,,,,,,标准译名列表,,
实体,,Drowned,,,溺尸,,,,,,标准译名列表,,
实体,,Elder Guardian,,,远古守卫者,,,,,,标准译名列表,,
实体,,Ender Crystal,,,末影水晶,,,,,,标准译名列表,,
实体,,Ender Dragon,,,末影龙,,,,,,标准译名列表,,
实体,,Enderman,,,末影人,,,,,,标准译名列表,,
实体,,Endermite,,,末影螨,,,,,,标准译名列表,,
实体,,Evoker,,,唤魔者,,,,,,标准译名列表,,
实体,,Evoker Fangs,,,唤魔者尖牙,,,,,,标准译名列表,,
实体,,Experience Orb,,,经验球,,,,,,标准译名列表,,
实体,,Fireball,,,火球,,,,,,标准译名列表,,火球（Fireball）是恶魂发射的弹射物。
实体,,Fishing Bobber,,,浮漂,,,,,,标准译名列表,,
实体,,Fox,,,狐狸,,,,,,标准译名列表,,
实体,,Frog,,,青蛙,,,,,,标准译名列表,,
实体,,Ghast,,,恶魂,,,,,,标准译名列表,,
实体,,Giant,,,巨人,,,,,,标准译名列表,,
实体,,Glow Squid,,,发光鱿鱼,,,,,,标准译名列表,,
实体,,Goat,,,山羊,,,,,,标准译名列表,,
实体,,Guardian,,,守卫者,,,,,,标准译名列表,,
实体,,Hoglin,,,疣猪兽,,,,,,标准译名列表,,
实体,,Horse,,,马,,,,,,标准译名列表,,
实体,,Human,,,人类,,,,,,标准译名列表,,
实体,,Husk,,,尸壳,,,,,,标准译名列表,,
实体,,Illager,,,灾厄村民,,,,,,标准译名列表,,
实体,,Illager Captain,,,灾厄队长,,,,,,标准译名列表,,
实体,,Illusioner,,,幻术师,,,,,,标准译名列表,,
实体,,Iron Golem,,,铁傀儡,,,,,,标准译名列表,,
实体,,Item,,,物品,,,,,,标准译名列表,,
实体,,Killer Bunny,,,杀手兔,,,,,,标准译名列表,,
实体,,Leash Knot,,,拴绳结,,,,,,标准译名列表,,
实体,,Lightning Bolt,,,闪电,,,,,,标准译名列表,,
实体,,Llama,,,羊驼,,,,,,标准译名列表,,
实体,,Llama Spit,,,羊驼唾沫,,,,,,标准译名列表,,
实体,,Magma Cube,,,岩浆怪,,,,,,标准译名列表,,
实体,,Marker,,,标记,,,,,,标准译名列表,,
实体,,Mask,,,Mask,,,,,,标准译名列表,,
实体,,Mooshroom,,,哞菇,,,,,,标准译名列表,,
实体,,Mule,,,骡,,,,,,标准译名列表,,
实体,,Npc,,,NPC,,,,,,标准译名列表,,
实体,,Ocelot,,,豹猫,,,,,,标准译名列表,,
实体,,Panda,,,熊猫,,,,,,标准译名列表,,
实体,,Parrot,,,鹦鹉,,,,,,标准译名列表,,
实体,,Phantom,,,幻翼,,,,,,标准译名列表,,
实体,,Pig,,,猪,,,,,,标准译名列表,,
实体,,Piglin,,,猪灵,,,,,,标准译名列表,,
实体,,Piglin Brute,,,猪灵蛮兵,,,,,,标准译名列表,,
实体,,Pigman,,,猪人,,,,,,标准译名列表,,
实体,,Pillager,,,掠夺者,,,,,,标准译名列表,,
实体,,Player,,,玩家,,,,,,标准译名列表,,
实体,,Polar Bear,,,北极熊,,,,,,标准译名列表,,
实体,,Pufferfish,,,河豚,,,,,,标准译名列表,,
实体,,Rabbit,,,兔子,,,,,,标准译名列表,,
实体,,Ravager,,,劫掠兽,,,,,,标准译名列表,,
实体,,Red Cat,,,猫,,,,,,标准译名列表,,
实体,,Red Mooshroom,,,红色哞菇,,,,,,标准译名列表,,
实体,,Salmon,,,鲑鱼,,,,,,标准译名列表,,
实体,,Sheep,,,绵羊,,,,,,标准译名列表,,
实体,,Shulker,,,潜影贝,,,,,,标准译名列表,,
实体,,Shulker Bullet,Shulker Projectile,,潜影贝导弹,,,,,,标准译名列表,,
实体,,Siamese Cat,,,猫,,,,,,标准译名列表,,
实体,,Silverfish,,,蠹虫,,,,,,标准译名列表,,
实体,,Skeleton,,,骷髅,,,,,,标准译名列表,,
实体,,Skeleton Horse,,,骷髅马,,,,,,标准译名列表,,
实体,,Skeleton Horseman,,,骷髅骑手,,,,,,标准译名列表,,
实体,,Slime,,,史莱姆,,,,,,标准译名列表,,
实体,,Small Fireball,,,小火球,,,,,,标准译名列表,,
实体,,Snow Golem,,,雪傀儡,,,,,,标准译名列表,,
实体,,Spider,Spider Day,,蜘蛛,,,,,,标准译名列表,,
