Key,English,简体中文
selectWorld.import_worldgen_settings.experimental.question,These settings are experimental and could one day stop working. Do you wish to proceed?,这些设置是实验性的，将来可能停止运作。你确定要继续吗？
selectWorld.import_worldgen_settings.experimental.title,Warning! These settings are using experimental features,警告！这些设置使用实验性功能
selectWorld.import_worldgen_settings.failure,Error importing settings,导入设置时出错
selectWorld.import_worldgen_settings.select_file,Select settings file (.json),选择设置文件（.json）
selectWorld.incompatible_series,Created by an incompatible version,创建于不兼容的版本
selectWorld.load_folder_access,Unable to read or access folder where game worlds are saved!,无法读取或访问游戏世界存档所在的文件夹！
selectWorld.locked,Locked by another running instance of Minecraft,被另一个正在运行的Minecraft实例锁定
selectWorld.mapFeatures,Generate Structures,生成建筑
selectWorld.mapFeatures.info,"Villages, dungeons etc.",村庄、地牢等等
selectWorld.mapType,World Type,世界类型
selectWorld.mapType.normal,Normal,普通
selectWorld.moreWorldOptions,More World Options...,更多世界选项…
selectWorld.newWorld,New World,新的世界
selectWorld.recreate,Re-Create,重建
selectWorld.recreate.customized.text,"Customized worlds are no longer supported in this version of Minecraft. We can try to recreate it with the same seed and properties, but any terrain customizations will be lost. We're sorry for the inconvenience!",自定义世界在这个版本的Minecraft中已不受支持。我们可以尝试用同样的种子与选项重建它，但任何自定义的地形都会丢失。抱歉给你带来不便。
selectWorld.recreate.customized.title,Customized worlds are no longer supported,自定义世界已不受支持
selectWorld.recreate.error.text,Something went wrong while trying to recreate a world.,尝试重建世界时出错。
selectWorld.recreate.error.title,An error occurred!,出错了！
selectWorld.resultFolder,Will be saved in:,将会保存于：
selectWorld.search,search for worlds,搜索世界
selectWorld.seedInfo,Leave blank for a random seed,留空以生成随机种子
selectWorld.select,Play Selected World,进入选中的世界
selectWorld.title,Select World,选择世界
selectWorld.tooltip.fromNewerVersion1,"World was saved in a newer version,",世界是在更新的版本中被保存的，
selectWorld.tooltip.fromNewerVersion2,loading this world could cause problems!,加载这个世界可能会产生问题！
selectWorld.tooltip.snapshot1,Don't forget to back up this world,你在这个快照中加载它之前，
selectWorld.tooltip.snapshot2,before you load it in this snapshot.,不要忘了备份这个世界！
selectWorld.unable_to_load,Unable to load worlds,无法加载世界
selectWorld.version,Version:,版本：
selectWorld.versionJoinButton,Load Anyway,仍然加载
selectWorld.versionQuestion,Do you really want to load this world?,你真的想加载此世界吗？
selectWorld.versionUnknown,unknown,未知
selectWorld.versionWarning,This world was last played in version %s and loading it in this version could cause corruption!,此世界上次是在%s版本中打开的，在此版本中加载可能会导致数据损坏！
selectWorld.world,World,世界
sign.edit,Edit Sign Message,修改告示牌消息
sleep.not_possible,No amount of rest can pass this night,已入睡玩家的数量不足以跳过夜晚
sleep.players_sleeping,%s/%s players sleeping,%s/%s名玩家已入睡
sleep.skipping_night,Sleeping through this night,今夜将在睡梦中度过
slot.unknown,Unknown slot '%s',未知的栏位'%s'
soundCategory.ambient,Ambient/Environment,环境
soundCategory.block,Blocks,方块
soundCategory.hostile,Hostile Creatures,敌对生物
soundCategory.master,Master Volume,主音量
soundCategory.music,Music,音乐
soundCategory.neutral,Friendly Creatures,友好生物
soundCategory.player,Players,玩家
soundCategory.record,Jukebox/Note Blocks,唱片机/音符盒
soundCategory.voice,Voice/Speech,声音/语音
soundCategory.weather,Weather,天气
spectatorMenu.close,Close Menu,关闭菜单
spectatorMenu.next_page,Next Page,下一页
spectatorMenu.previous_page,Previous Page,上一页
spectatorMenu.root.prompt,"Press a key to select a command, and again to use it.",按下一个键来选择命令，再按一次来使用它。
spectatorMenu.team_teleport,Teleport to Team Member,传送到队伍成员
spectatorMenu.team_teleport.prompt,Select a team to teleport to,选择一支队伍作为传送目标
spectatorMenu.teleport,Teleport to Player,传送到玩家
spectatorMenu.teleport.prompt,Select a player to teleport to,选择一名玩家作为传送目标
stat.generalButton,General,通用
stat.itemsButton,Items,物品
stat.minecraft.animals_bred,Animals Bred,繁殖动物次数
stat.minecraft.aviate_one_cm,Distance by Elytra,鞘翅滑行距离
stat.minecraft.bell_ring,Bells Rung,鸣钟次数
stat.minecraft.boat_one_cm,Distance by Boat,坐船移动距离
stat.minecraft.clean_armor,Armor Pieces Cleaned,清洗盔甲次数
stat.minecraft.clean_banner,Banners Cleaned,清洗旗帜次数
stat.minecraft.clean_shulker_box,Shulker Boxes Cleaned,潜影盒清洗次数
stat.minecraft.climb_one_cm,Distance Climbed,已攀爬距离
stat.minecraft.crouch_one_cm,Distance Crouched,潜行距离
stat.minecraft.damage_absorbed,Damage Absorbed,吸收的伤害
stat.minecraft.damage_blocked_by_shield,Damage Blocked by Shield,盾牌抵挡的伤害
stat.minecraft.damage_dealt,Damage Dealt,造成伤害
stat.minecraft.damage_dealt_absorbed,Damage Dealt (Absorbed),造成伤害（被吸收）
stat.minecraft.damage_dealt_resisted,Damage Dealt (Resisted),造成伤害（被抵挡）
stat.minecraft.damage_resisted,Damage Resisted,抵挡的伤害
stat.minecraft.damage_taken,Damage Taken,受到伤害
stat.minecraft.deaths,Number of Deaths,死亡次数
stat.minecraft.drop,Items Dropped,物品掉落
stat.minecraft.eat_cake_slice,Cake Slices Eaten,吃掉的蛋糕片数
stat.minecraft.enchant_item,Items Enchanted,物品附魔次数
stat.minecraft.fall_one_cm,Distance Fallen,摔落高度
stat.minecraft.fill_cauldron,Cauldrons Filled,炼药锅装水次数
stat.minecraft.fish_caught,Fish Caught,捕鱼数
stat.minecraft.fly_one_cm,Distance Flown,飞行距离
stat.minecraft.horse_one_cm,Distance by Horse,骑马移动距离
stat.minecraft.inspect_dispenser,Dispensers Searched,搜查发射器次数
stat.minecraft.inspect_dropper,Droppers Searched,搜查投掷器次数
stat.minecraft.inspect_hopper,Hoppers Searched,搜查漏斗次数
stat.minecraft.interact_with_anvil,Interactions with Anvil,与铁砧互动次数
stat.minecraft.interact_with_beacon,Interactions with Beacon,与信标互动次数
stat.minecraft.interact_with_blast_furnace,Interactions with Blast Furnace,与高炉互动次数
stat.minecraft.interact_with_brewingstand,Interactions with Brewing Stand,与酿造台互动次数
stat.minecraft.interact_with_campfire,Interactions with Campfire,与营火互动次数
stat.minecraft.interact_with_cartography_table,Interactions with Cartography Table,与制图台互动次数
stat.minecraft.interact_with_crafting_table,Interactions with Crafting Table,与工作台互动次数
stat.minecraft.interact_with_furnace,Interactions with Furnace,与熔炉互动次数
stat.minecraft.interact_with_grindstone,Interactions with Grindstone,与砂轮互动次数
stat.minecraft.interact_with_lectern,Interactions with Lectern,与讲台互动次数
stat.minecraft.interact_with_loom,Interactions with Loom,与织布机互动次数
stat.minecraft.interact_with_smithing_table,Interactions with Smithing Table,与锻造台互动次数
stat.minecraft.interact_with_smoker,Interactions with Smoker,与烟熏炉互动次数
stat.minecraft.interact_with_stonecutter,Interactions with Stonecutter,与切石机互动次数
stat.minecraft.jump,Jumps,跳跃次数
stat.minecraft.junk_fished,Junk Fished,钓到垃圾次数
stat.minecraft.leave_game,Games Quit,游戏退出次数
stat.minecraft.minecart_one_cm,Distance by Minecart,坐矿车移动距离
stat.minecraft.mob_kills,Mob Kills,生物击杀数
stat.minecraft.open_barrel,Barrels Opened,木桶打开次数
stat.minecraft.open_chest,Chests Opened,箱子打开次数
stat.minecraft.open_enderchest,Ender Chests Opened,末影箱打开次数
stat.minecraft.open_shulker_box,Shulker Boxes Opened,潜影盒打开次数
stat.minecraft.pig_one_cm,Distance by Pig,骑猪移动距离
stat.minecraft.play_noteblock,Note Blocks Played,音符盒播放次数
stat.minecraft.play_record,Music Discs Played,播放唱片数
stat.minecraft.play_time,Time Played,游戏时长
stat.minecraft.player_kills,Player Kills,玩家击杀数
stat.minecraft.pot_flower,Plants Potted,盆栽种植数
stat.minecraft.raid_trigger,Raids Triggered,触发袭击次数
stat.minecraft.raid_win,Raids Won,袭击胜利次数
stat.minecraft.ring_bell,Bells Rung,鸣钟次数
stat.minecraft.sleep_in_bed,Times Slept in a Bed,躺在床上的次数
stat.minecraft.sneak_time,Sneak Time,潜行时间
stat.minecraft.sprint_one_cm,Distance Sprinted,疾跑距离
stat.minecraft.strider_one_cm,Distance by Strider,骑炽足兽移动距离
stat.minecraft.swim_one_cm,Distance Swum,游泳距离
stat.minecraft.talked_to_villager,Talked to Villagers,村民交互次数
stat.minecraft.target_hit,Targets Hit,击中标靶次数
stat.minecraft.time_since_death,Time Since Last Death,自上次死亡
stat.minecraft.time_since_rest,Time Since Last Rest,自上次入眠
stat.minecraft.total_world_time,Time with World Open,世界打开时间
stat.minecraft.traded_with_villager,Traded with Villagers,村民交易次数
stat.minecraft.treasure_fished,Treasure Fished,钓到宝藏次数
stat.minecraft.trigger_trapped_chest,Trapped Chests Triggered,陷阱箱触发次数
stat.minecraft.tune_noteblock,Note Blocks Tuned,音符盒调音次数
stat.minecraft.use_cauldron,Water Taken from Cauldron,从炼药锅取水次数
stat.minecraft.walk_on_water_one_cm,Distance Walked on Water,水面行走距离
stat.minecraft.walk_one_cm,Distance Walked,行走距离
stat.minecraft.walk_under_water_one_cm,Distance Walked under Water,水下行走距离
stat.mobsButton,Mobs,生物
stat_type.minecraft.broken,Times Broken,损坏次数
stat_type.minecraft.crafted,Times Crafted,合成次数
stat_type.minecraft.dropped,Dropped,丢弃个数
stat_type.minecraft.killed,You killed %s %s,你杀死了%s只%s
stat_type.minecraft.killed.none,You have never killed %s,你从来没有杀死过%s
stat_type.minecraft.killed_by,%s killed you %s time(s),%s杀死了你%s次
stat_type.minecraft.killed_by.none,You have never been killed by %s,你从来没有被%s杀死过
stat_type.minecraft.mined,Times Mined,开采次数
stat_type.minecraft.picked_up,Picked Up,拾起个数
stat_type.minecraft.used,Times Used,使用次数
stats.tooltip.type.statistic,Statistic,统计
structure_block.button.detect_size,DETECT,探测
structure_block.button.load,LOAD,加载
structure_block.button.save,SAVE,保存
structure_block.custom_data,Custom Data Tag Name,自定义数据标签名
structure_block.detect_size,Detect structure size and position:,探测结构大小和位置：
structure_block.hover.corner,Corner: %s,角落：%s
structure_block.hover.data,Data: %s,数据：%s
structure_block.hover.load,Load: %s,加载：%s
structure_block.hover.save,Save: %s,保存：%s
structure_block.include_entities,Include entities:,包括实体：
structure_block.integrity,Structure Integrity and Seed,结构完整性及种子
structure_block.integrity.integrity,Structure Integrity,结构完整性
structure_block.integrity.seed,Structure Seed,结构种子
structure_block.invalid_structure_name,Invalid structure name '%s',无效的结构名'%s'
structure_block.load_not_found,Structure '%s' is not available,不存在名为'%s'的结构
structure_block.load_prepare,Structure '%s' position prepared,结构'%s'的加载位置已就绪
structure_block.load_success,Structure loaded from '%s',成功从'%s'中加载结构
structure_block.mode.corner,Corner,角落模式
structure_block.mode.data,Data,数据模式
structure_block.mode.load,Load,加载模式
structure_block.mode.save,Save,储存模式
structure_block.mode_info.corner,Corner Mode - Placement and Size Marker,角落模式 — 位置和大小标记
structure_block.mode_info.data,Data mode - Game Logic Marker,数据模式 — 游戏逻辑标记
structure_block.mode_info.load,Load mode - Load from File,加载模式 — 从文件中加载
structure_block.mode_info.save,Save Mode - Write to File,储存模式 — 写入文件
structure_block.position,Relative Position,相对位置
structure_block.position.x,relative Position x,相对X坐标
structure_block.position.y,relative position y,相对Y坐标
structure_block.position.z,relative position z,相对Z坐标
structure_block.save_failure,Unable to save structure '%s',无法保存结构'%s'
structure_block.save_success,Structure saved as '%s',成功将结构保存为'%s'
structure_block.show_air,Show Invisible Blocks:,显示隐形方块：
structure_block.show_boundingbox,Show Bounding Box:,显示边框：
structure_block.size,Structure Size,结构大小
structure_block.size.x,structure size x,结构X轴大小
structure_block.size.y,structure size y,结构Y轴大小
structure_block.size.z,structure size z,结构Z轴大小
structure_block.size_failure,Unable to detect structure size. Add corners with matching structure names,无法检测结构尺寸。请放置与结构名称对应的角落结构方块
structure_block.size_success,Size successfully detected for '%s','%s'的尺寸已成功检测
structure_block.structure_name,Structure Name,结构名称
subtitles.ambient.cave,Eerie noise,怪异的噪声
subtitles.block.amethyst_block.chime,Amethyst chimes,紫水晶：叮铃
subtitles.block.anvil.destroy,Anvil destroyed,铁砧：被毁
subtitles.block.anvil.land,Anvil landed,铁砧：着地
subtitles.block.anvil.use,Anvil used,铁砧：使用
subtitles.block.barrel.close,Barrel closes,木桶：关闭
subtitles.block.barrel.open,Barrel opens,木桶：打开
subtitles.block.beacon.activate,Beacon activates,信标：激活
subtitles.block.beacon.ambient,Beacon hums,信标：嗡嗡作响
subtitles.block.beacon.deactivate,Beacon deactivates,信标：失效
subtitles.block.beacon.power_select,Beacon power selected,信标：选择效果
subtitles.block.beehive.drip,Honey drips,蜂蜜：滴落
subtitles.block.beehive.enter,Bee enters hive,蜜蜂：入巢
subtitles.block.beehive.exit,Bee leaves hive,蜜蜂：离巢
subtitles.block.beehive.shear,Shears scrape,剪刀：刮削
subtitles.block.beehive.work,Bees work,蜜蜂：工作
subtitles.block.bell.resonate,Bell resonates,钟：回响
subtitles.block.bell.use,Bell rings,钟：响起
subtitles.block.big_dripleaf.tilt_down,Dripleaf tilts down,垂滴叶：折下
subtitles.block.big_dripleaf.tilt_up,Dripleaf tilts up,垂滴叶：升起
subtitles.block.blastfurnace.fire_crackle,Blast Furnace crackles,高炉：噼啪作响
subtitles.block.brewing_stand.brew,Brewing Stand bubbles,酿造台：冒泡
subtitles.block.bubble_column.bubble_pop,Bubbles pop,气泡：破裂
subtitles.block.bubble_column.upwards_ambient,Bubbles flow,气泡：上浮
subtitles.block.bubble_column.upwards_inside,Bubbles woosh,气泡：飞升
subtitles.block.bubble_column.whirlpool_ambient,Bubbles whirl,气泡：旋转
subtitles.block.bubble_column.whirlpool_inside,Bubbles zoom,气泡：骤降
subtitles.block.button.click,Button clicks,按钮：咔哒
subtitles.block.cake.add_candle,Cake squishes,蛋糕：吧唧
subtitles.block.campfire.crackle,Campfire crackles,营火：噼啪作响
subtitles.block.candle.crackle,Candle crackles,蜡烛：噼啪作响
subtitles.block.chest.close,Chest closes,箱子：关闭
subtitles.block.chest.locked,Chest locked,箱子：锁上
subtitles.block.chest.open,Chest opens,箱子：开启
subtitles.block.chorus_flower.death,Chorus Flower withers,紫颂花：凋零
subtitles.block.chorus_flower.grow,Chorus Flower grows,紫颂花：生长
subtitles.block.comparator.click,Comparator clicks,比较器：模式变更
subtitles.block.composter.empty,Composter emptied,堆肥桶：清空
subtitles.block.composter.fill,Composter filled,堆肥桶：填充
subtitles.block.composter.ready,Composter composts,堆肥桶：堆肥
subtitles.block.conduit.activate,Conduit activates,潮涌核心：激活
subtitles.block.conduit.ambient,Conduit pulses,潮涌核心：涌动
subtitles.block.conduit.attack.target,Conduit attacks,潮涌核心：攻击
subtitles.block.conduit.deactivate,Conduit deactivates,潮涌核心：失效
subtitles.block.dispenser.dispense,Dispensed item,发射器：发射物品
subtitles.block.dispenser.fail,Dispenser failed,发射器：发射失败
subtitles.block.door.toggle,Door creaks,门：嘎吱作响
subtitles.block.enchantment_table.use,Enchanting Table used,附魔台：使用
subtitles.block.end_portal.spawn,End Portal opens,末地传送门：开启
subtitles.block.end_portal_frame.fill,Eye of Ender attaches,末影之眼：嵌入
subtitles.block.fence_gate.toggle,Fence Gate creaks,栅栏门：嘎吱作响
subtitles.block.fire.ambient,Fire crackles,火：噼啪作响
subtitles.block.fire.extinguish,Fire extinguished,火：熄灭
subtitles.block.furnace.fire_crackle,Furnace crackles,熔炉：噼啪作响
subtitles.block.generic.break,Block broken,方块：被破坏
subtitles.block.generic.footsteps,Footsteps,脚步声
subtitles.block.generic.hit,Block breaking,方块：损坏中
subtitles.block.generic.place,Block placed,方块：被放置
subtitles.block.grindstone.use,Grindstone used,砂轮：使用
subtitles.block.growing_plant.crop,Plant cropped,植物：被修剪
subtitles.block.honey_block.slide,Sliding down a honey block,从蜂蜜块滑下
subtitles.block.iron_trapdoor.close,Trapdoor closes,活板门：关闭
subtitles.block.iron_trapdoor.open,Trapdoor opens,活板门：打开
subtitles.block.lava.ambient,Lava pops,熔岩：迸裂
subtitles.block.lava.extinguish,Lava hisses,熔岩：嘶嘶声
subtitles.block.lever.click,Lever clicks,拉杆：拉动
subtitles.block.note_block.note,Note Block plays,音符盒：播放
subtitles.block.piston.move,Piston moves,活塞：移动
subtitles.block.pointed_dripstone.drip_lava,Lava drips,熔岩：滴落
subtitles.block.pointed_dripstone.drip_lava_into_cauldron,Lava drips into Cauldron,熔岩：滴入炼药锅
subtitles.block.pointed_dripstone.drip_water,Water drips,水：滴落
subtitles.block.pointed_dripstone.drip_water_into_cauldron,Water drips into Cauldron,水：滴入炼药锅
subtitles.block.pointed_dripstone.land,Stalactite crashes down,钟乳石：塌落
subtitles.block.portal.ambient,Portal whooshes,传送门：呼啸
subtitles.block.portal.travel,Portal noise fades,传送门：噪声消散
subtitles.block.portal.trigger,Portal noise intensifies,传送门：噪声渐响
subtitles.block.pressure_plate.click,Pressure Plate clicks,压力板：咔哒
subtitles.block.pumpkin.carve,Shears carve,剪刀：雕刻
subtitles.block.redstone_torch.burnout,Torch fizzes,红石火把：熄灭
subtitles.block.respawn_anchor.ambient,Portal whooshes,传送门：呼啸
subtitles.block.respawn_anchor.charge,Respawn Anchor is charged,重生锚：充能
subtitles.block.respawn_anchor.deplete,Respawn Anchor depletes,重生锚：耗能
subtitles.block.respawn_anchor.set_spawn,Respawn Anchor sets spawn,重生锚：设置出生点
subtitles.block.sculk_sensor.clicking,Sculk Sensor starts clicking,潜声传感器：咔哒
subtitles.block.sculk_sensor.clicking_stop,Sculk Sensor stops clicking,潜声传感器：停息
subtitles.block.shulker_box.close,Shulker closes,潜影盒：关闭
subtitles.block.shulker_box.open,Shulker opens,潜影盒：开启
subtitles.block.smithing_table.use,Smithing Table used,锻造台：使用
subtitles.block.smoker.smoke,Smoker smokes,烟熏炉：烟熏
subtitles.block.sweet_berry_bush.pick_berries,Berries pop,浆果：弹出
subtitles.block.trapdoor.toggle,Trapdoor creaks,活板门：嘎吱作响
subtitles.block.tripwire.attach,Tripwire attaches,绊线钩：连接
subtitles.block.tripwire.click,Tripwire clicks,绊线钩：咔哒
subtitles.block.tripwire.detach,Tripwire detaches,绊线钩：断开
subtitles.block.water.ambient,Water flows,水：流动
subtitles.enchant.thorns.hit,Thorns prick,荆棘：反刺
subtitles.entity.armor_stand.fall,Something fell,某物：着地
subtitles.entity.arrow.hit,Arrow hits,箭：击中
subtitles.entity.arrow.hit_player,Player hit,箭：击中玩家
subtitles.entity.arrow.shoot,Arrow fired,箭：被射出
subtitles.entity.axolotl.attack,Axolotl attacks,美西螈：攻击
subtitles.entity.axolotl.death,Axolotl dies,美西螈：死亡
subtitles.entity.axolotl.hurt,Axolotl hurts,美西螈：受伤
subtitles.entity.axolotl.idle_air,Axolotl chirps,美西螈：啾啾
subtitles.entity.axolotl.idle_water,Axolotl chirps,美西螈：啾啾
subtitles.entity.axolotl.splash,Axolotl splashes,美西螈：溅起水花
subtitles.entity.axolotl.swim,Axolotl swims,美西螈：游泳
subtitles.entity.bat.ambient,Bat screeches,蝙蝠：尖声叫
subtitles.entity.bat.death,Bat dies,蝙蝠：死亡
subtitles.entity.bat.hurt,Bat hurts,蝙蝠：受伤
subtitles.entity.bat.takeoff,Bat takes off,蝙蝠：起飞
subtitles.entity.bee.ambient,Bee buzzes,蜜蜂：嗡嗡
subtitles.entity.bee.death,Bee dies,蜜蜂：死亡
subtitles.entity.bee.hurt,Bee hurts,蜜蜂：受伤
subtitles.entity.bee.loop,Bee buzzes,蜜蜂：嗡嗡
subtitles.entity.bee.loop_aggressive,Bee buzzes angrily,蜜蜂：愤怒地嗡嗡叫
subtitles.entity.bee.pollinate,Bee buzzes happily,蜜蜂：高兴地嗡嗡叫
subtitles.entity.bee.sting,Bee stings,蜜蜂：蛰
subtitles.entity.blaze.ambient,Blaze breathes,烈焰人：呼吸
subtitles.entity.blaze.burn,Blaze crackles,烈焰人：噼啪作响
subtitles.entity.blaze.death,Blaze dies,烈焰人：死亡
subtitles.entity.blaze.hurt,Blaze hurts,烈焰人：受伤
subtitles.entity.blaze.shoot,Blaze shoots,烈焰人：射击
subtitles.entity.boat.paddle_land,Rowing,划船
subtitles.entity.boat.paddle_water,Rowing,划船
subtitles.entity.cat.ambient,Cat meows,猫：喵~
subtitles.entity.cat.beg_for_food,Cat begs,猫：求食
subtitles.entity.cat.death,Cat dies,猫：死亡
subtitles.entity.cat.eat,Cat eats,猫：进食
subtitles.entity.cat.hiss,Cat hisses,猫：嘶嘶声
subtitles.entity.cat.hurt,Cat hurts,猫：受伤
subtitles.entity.cat.purr,Cat purrs,猫：呼噜声
subtitles.entity.chicken.ambient,Chicken clucks,鸡：咯咯叫
subtitles.entity.chicken.death,Chicken dies,鸡：死亡
subtitles.entity.chicken.egg,Chicken plops,鸡：下蛋
subtitles.entity.chicken.hurt,Chicken hurts,鸡：受伤
subtitles.entity.cod.death,Cod dies,鳕鱼：死亡
subtitles.entity.cod.flop,Cod flops,鳕鱼：扑腾
subtitles.entity.cod.hurt,Cod hurts,鳕鱼：受伤
subtitles.entity.cow.ambient,Cow moos,牛：哞~
subtitles.entity.cow.death,Cow dies,牛：死亡
subtitles.entity.cow.hurt,Cow hurts,牛：受伤
subtitles.entity.cow.milk,Cow gets milked,牛：被挤奶
subtitles.entity.creeper.death,Creeper dies,苦力怕：死亡
subtitles.entity.creeper.hurt,Creeper hurts,苦力怕：受伤
subtitles.entity.creeper.primed,Creeper hisses,苦力怕：嘶~
subtitles.entity.dolphin.ambient,Dolphin chirps,海豚：啾啾
subtitles.entity.dolphin.ambient_water,Dolphin whistles,海豚：吹口哨
subtitles.entity.dolphin.attack,Dolphin attacks,海豚：攻击
subtitles.entity.dolphin.death,Dolphin dies,海豚：死亡
subtitles.entity.dolphin.eat,Dolphin eats,海豚：进食
subtitles.entity.dolphin.hurt,Dolphin hurts,海豚：受伤
subtitles.entity.dolphin.jump,Dolphin jumps,海豚：跃起
subtitles.entity.dolphin.play,Dolphin plays,海豚：嬉戏
subtitles.entity.dolphin.splash,Dolphin splashes,海豚：溅起水花
subtitles.entity.dolphin.swim,Dolphin swims,海豚：游泳
subtitles.entity.donkey.ambient,Donkey hee-haws,驴：嘶叫
subtitles.entity.donkey.angry,Donkey neighs,驴：嘶叫
subtitles.entity.donkey.chest,Donkey Chest equips,驴：装备箱子
subtitles.entity.donkey.death,Donkey dies,驴：死亡
subtitles.entity.donkey.eat,Donkey eats,驴：进食
subtitles.entity.donkey.hurt,Donkey hurts,驴：受伤
subtitles.entity.drowned.ambient,Drowned gurgles,溺尸：呻吟
subtitles.entity.drowned.ambient_water,Drowned gurgles,溺尸：呻吟
subtitles.entity.drowned.death,Drowned dies,溺尸：死亡
subtitles.entity.drowned.hurt,Drowned hurts,溺尸：受伤
subtitles.entity.drowned.shoot,Drowned throws Trident,溺尸：投掷三叉戟
subtitles.entity.drowned.step,Drowned steps,溺尸：脚步声
subtitles.entity.drowned.swim,Drowned swims,溺尸：游泳
subtitles.entity.egg.throw,Egg flies,蛋：飞出
subtitles.entity.elder_guardian.ambient,Elder Guardian moans,远古守卫者：低鸣
subtitles.entity.elder_guardian.ambient_land,Elder Guardian flaps,远古守卫者：弹跳
subtitles.entity.elder_guardian.curse,Elder Guardian curses,远古守卫者：诅咒
subtitles.entity.elder_guardian.death,Elder Guardian dies,远古守卫者：死亡
subtitles.entity.elder_guardian.flop,Elder Guardian flops,远古守卫者：落地
subtitles.entity.elder_guardian.hurt,Elder Guardian hurts,远古守卫者：受伤
subtitles.entity.ender_dragon.ambient,Dragon roars,末影龙：咆哮
subtitles.entity.ender_dragon.death,Dragon dies,末影龙：死亡
subtitles.entity.ender_dragon.flap,Dragon flaps,末影龙：拍打翅膀
subtitles.entity.ender_dragon.growl,Dragon growls,末影龙：吼叫
subtitles.entity.ender_dragon.hurt,Dragon hurts,末影龙：受伤
subtitles.entity.ender_dragon.shoot,Dragon shoots,末影龙：射击
subtitles.entity.ender_eye.death,Eye of Ender falls,末影之眼：掉落
subtitles.entity.ender_eye.launch,Eye of Ender shoots,末影之眼：射出
subtitles.entity.ender_pearl.throw,Ender Pearl flies,末影珍珠：飞出
subtitles.entity.enderman.ambient,Enderman vwoops,末影人：低鸣
subtitles.entity.enderman.death,Enderman dies,末影人：死亡
subtitles.entity.enderman.hurt,Enderman hurts,末影人：受伤
subtitles.entity.enderman.stare,Enderman cries out,末影人：喊叫
subtitles.entity.enderman.teleport,Enderman teleports,末影人：传送
subtitles.entity.endermite.ambient,Endermite scuttles,末影螨：叫声
subtitles.entity.endermite.death,Endermite dies,末影螨：死亡
subtitles.entity.endermite.hurt,Endermite hurts,末影螨：受伤
subtitles.entity.evoker.ambient,Evoker murmurs,唤魔者：咕哝
subtitles.entity.evoker.cast_spell,Evoker casts spell,唤魔者：施法
subtitles.entity.evoker.celebrate,Evoker cheers,唤魔者：欢呼
subtitles.entity.evoker.death,Evoker dies,唤魔者：死亡
subtitles.entity.evoker.hurt,Evoker hurts,唤魔者：受伤
subtitles.entity.evoker.prepare_attack,Evoker prepares attack,唤魔者：准备攻击
subtitles.entity.evoker.prepare_summon,Evoker prepares summoning,唤魔者：准备召唤
subtitles.entity.evoker.prepare_wololo,Evoker prepares charming,唤魔者：准备施咒
subtitles.entity.evoker_fangs.attack,Fangs snap,尖牙：咬合
subtitles.entity.experience_orb.pickup,Experience gained,获得经验
subtitles.entity.firework_rocket.blast,Firework blasts,烟花：爆炸
subtitles.entity.firework_rocket.launch,Firework launches,烟花：发射
subtitles.entity.firework_rocket.twinkle,Firework twinkles,烟火：闪烁
subtitles.entity.fishing_bobber.retrieve,Bobber retrieved,浮漂：收回
subtitles.entity.fishing_bobber.splash,Fishing Bobber splashes,浮漂：溅起水花
subtitles.entity.fishing_bobber.throw,Bobber thrown,浮漂：甩出
subtitles.entity.fox.aggro,Fox angers,狐狸：愤怒
subtitles.entity.fox.ambient,Fox squeaks,狐狸：吱吱叫
subtitles.entity.fox.bite,Fox bites,狐狸：撕咬
subtitles.entity.fox.death,Fox dies,狐狸：死亡
subtitles.entity.fox.eat,Fox eats,狐狸：进食
subtitles.entity.fox.hurt,Fox hurts,狐狸：受伤
subtitles.entity.fox.screech,Fox screeches,狐狸：尖声叫
subtitles.entity.fox.sleep,Fox snores,狐狸：打鼾
subtitles.entity.fox.sniff,Fox sniffs,狐狸：嗅探
subtitles.entity.fox.spit,Fox spits,狐狸：吐出
subtitles.entity.fox.teleport,Fox teleports,狐狸：传送
subtitles.entity.generic.big_fall,Something fell,某物：着地
subtitles.entity.generic.burn,Burning,燃烧
subtitles.entity.generic.death,Dying,濒死
subtitles.entity.generic.drink,Sipping,啜饮
subtitles.entity.generic.eat,Eating,进食
subtitles.entity.generic.explode,Explosion,爆炸
subtitles.entity.generic.extinguish_fire,Fire extinguishes,火：熄灭
subtitles.entity.generic.hurt,Something hurts,某物：受伤
subtitles.entity.generic.small_fall,Something trips,某物：摔倒
subtitles.entity.generic.splash,Splashing,溅起水花
subtitles.entity.generic.swim,Swimming,实体：游泳
subtitles.entity.ghast.ambient,Ghast cries,恶魂：哭泣
subtitles.entity.ghast.death,Ghast dies,恶魂：死亡
subtitles.entity.ghast.hurt,Ghast hurts,恶魂：受伤
subtitles.entity.ghast.shoot,Ghast shoots,恶魂：射击
subtitles.entity.glow_item_frame.add_item,Glow Item Frame fills,荧光物品展示框：填充
subtitles.entity.glow_item_frame.break,Glow Item Frame breaks,荧光物品展示框：被破坏
subtitles.entity.glow_item_frame.place,Glow Item Frame placed,荧光物品展示框：被放置
subtitles.entity.glow_item_frame.remove_item,Glow Item Frame empties,荧光物品展示框：清空
subtitles.entity.glow_item_frame.rotate_item,Glow Item Frame clicks,荧光物品展示框：转动
subtitles.entity.glow_squid.ambient,Glow Squid swims,发光鱿鱼：游泳
